antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'volume_ratio=Low', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.18956043956043955,0.23626373626373626,0.18956043956043955,1.0,4.232558139534884,1.0,0.14477418186209395,inf,0.9423728813559322,0.8023255813953488,1.0,0.9011627906976745
"frozenset({'bb_position=Normal', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.12087912087912088,0.23626373626373626,0.12087912087912088,1.0,4.232558139534884,1.0,0.09231976814394396,inf,0.8687499999999999,0.5116279069767442,1.0,0.7558139534883721
"frozenset({'volume_ratio=Low', 'price_change_pct=Positive', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.20054945054945056,0.23626373626373626,0.20054945054945056,1.0,4.232558139534884,1.0,0.15316688805699796,inf,0.9553264604810997,0.8488372093023256,1.0,0.9244186046511629
"frozenset({'price_change_pct=Positive', 'bb_position=Normal', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.13186813186813187,0.23626373626373626,0.13186813186813187,1.0,4.232558139534884,1.0,0.10071247433884797,inf,0.879746835443038,0.5581395348837209,1.0,0.7790697674418605
"frozenset({'volume_ratio=Low', 'bb_position=Normal', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.1346153846153846,0.23626373626373626,0.1346153846153846,1.0,4.232558139534884,1.0,0.10281065088757396,inf,0.8825396825396825,0.569767441860465,1.0,0.7848837209302326
"frozenset({'volume_ratio=Low', 'price_change_pct=Positive', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.18681318681318682,0.23626373626373626,0.18681318681318682,1.0,4.232558139534884,1.0,0.14267600531336794,inf,0.939189189189189,0.7906976744186047,1.0,0.8953488372093024
"frozenset({'bb_position=Normal', 'price_change_pct=Positive', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.11813186813186813,0.23626373626373626,0.11813186813186813,1.0,4.232558139534884,1.0,0.09022159159521796,inf,0.8660436137071651,0.5000000000000001,1.0,0.75
"frozenset({'bb_position=Normal', 'volume_ratio=Low', 'macd_bullish', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.12087912087912088,0.23626373626373626,0.12087912087912088,1.0,4.232558139534884,1.0,0.09231976814394396,inf,0.8687499999999999,0.5116279069767442,1.0,0.7558139534883721
"frozenset({'volume_ratio=Low', 'price_change_pct=Positive', 'bb_position=Normal', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.13186813186813187,0.23626373626373626,0.13186813186813187,1.0,4.232558139534884,1.0,0.10071247433884797,inf,0.879746835443038,0.5581395348837209,1.0,0.7790697674418605
"frozenset({'volume_ratio=Low', 'macd_bullish', 'price_change_pct=Positive', 'bb_position=Normal', 'rsi_overbought'})",frozenset({'rsi=Overbought'}),0.11813186813186813,0.23626373626373626,0.11813186813186813,1.0,4.232558139534884,1.0,0.09022159159521796,inf,0.8660436137071651,0.5000000000000001,1.0,0.75
frozenset({'bb_position=Above_Upper'}),frozenset({'price_change_pct=Positive'}),0.11813186813186813,0.9313186813186813,0.11813186813186813,1.0,1.0737463126843658,1.0,0.008113452481584349,inf,0.0778816199376947,0.12684365781710913,1.0,0.5634218289085545
"frozenset({'bb_position=Above_Upper', 'macd_bullish'})",frozenset({'price_change_pct=Positive'}),0.11263736263736264,0.9313186813186813,0.11263736263736264,1.0,1.0737463126843658,1.0,0.007736082598719954,inf,0.0773993808049535,0.12094395280235988,1.0,0.56047197640118
